Country,ISO3,Disease,Year,Latest Reported Cases Aggregate,Cases,Cases Lower,Cases Upper,Incidence,Incidence Lower,Incidence Upper,Derived_Cases_Method,Year Range Incidence Estimate
Azerbaijan,AZE,Rabies virus (Inf. with),2005,3.0,3.0,0.745986221515698,7.776443098857671,2.268336666528046e-06,5.640492996629237e-07,5.879863672102613e-06,None,2005
Burundi,BDI,Bovine anaplasmosis,2005,345.0,345.0,296.0430871807809,399.0742541678028,0.0007837649341296687,0.0006725454803588073,0.0009066098740019555,None,2005
Burundi,BDI,Bovine babesiosis,2005,533.0,533.0,471.54119204726805,599.5762257247318,0.0012108600286698942,0.0010712389893459495,0.0013621067277126372,None,2005
Burundi,BDI,Brucella abortus (Inf. with),2005,264.0,264.0,221.48595939025697,311.6313413586664,0.0005997505582905292,0.0005031679083250761,0.0007079586021238131,None,2005
Burundi,BDI,Heartwater,2005,1374.0,1374.0,1273.7989966440791,1479.318586397553,0.0031214290420120724,0.0028937941643454633,0.003360689954854124,None,2005
Burundi,BDI,Lumpy skin disease virus (Inf. with),2005,1389.0,1389.0,1288.2397825857156,1494.8778021849103,0.0031555057782785795,0.0029266004879464126,0.0033960371077140874,None,2005
Burundi,BDI,"Theileria annulata, Theileria orientalis and Theileria parva (Inf. with)",2005,27294.0,27294.0,26838.627956476197,27754.489919111216,0.06200602931053675,0.06097152310851668,0.06305216221233263,None,2005
Burundi,BDI,Trypanosomosis (tsetse-transmitted) (-2021),2005,2124.0,2124.0,1998.8021721651987,2254.315476178754,0.004825265855337439,0.004540843631319698,0.005121314262883287,None,2005
Belgium,BEL,Bovine spongiform encephalopathy,2005,2.0,2.0,0.33246802292539274,6.1718352759094035,1.1357570388542484e-06,1.888014486157352e-07,3.5048526786315285e-06,None,2005
Benin,BEN,Anthrax,2005,190.0,190.0,164.24805127341935,218.31062752359054,0.0002005444253399492,0.0001733633213464968,0.00023042620706485348,None,2005
Benin,BEN,Bovine tuberculosis (-2018),2005,199.0,199.0,147.44062341222048,268.30804018630266,0.00010502194905960496,7.781156603675687e-05,0.0001415991624559212,None,2005
Benin,BEN,Echinococcosis/hydatidosis,2005,1.0,0.9999999999999999,0.05703107824502198,4.398728747398595,1.0554969754734167e-06,6.019613059560848e-08,4.642844888807188e-06,None,2005
Benin,BEN,Foot and mouth disease virus (Inf. with),2005,1690.0,1690.0,1461.3475591756298,1951.8624768694203,0.0008918949442750371,0.0007712239644126686,0.0010300924704378625,None,2005
Benin,BEN,Haemorrhagic septicaemia (Pasteurella multocida serotypes 6:b and 6:e),2005,1832.0,1832.0,1573.5765170079055,2138.8894667035274,0.0009668352295336498,0.000830452627188919,0.0011287956814887614,None,2005
