COUNTRY,ISO3,area_sq_km
Philippines,PHL,306308.1459407867
Pitcairn,PCN,58.03410446719245
Poland,POL,824669.6396184738
Portugal,PRT,149316.5571921463
Puerto Rico,PRI,10132.105824114165
Qatar,QAT,13563.105847842966
Réunion,REU,3033.722701962548
Romania,ROU,487863.60221361124
Russian Federation,RUS,82933081.04690796
Rwanda,RWA,25168.222351255117
Saba,BES,15.55988729468015
Saint Barthelemy,BLM,25.596551481103134
Saint Eustatius,BES,26.311337284700777
Saint Helena,SHN,141.08111435150502
Saint Kitts and Nevis,KNA,214.50994818792142
Saint Lucia,LCA,673.8972885587549
Saint Martin,MAF,59.887582220522745
Saint Pierre and Miquelon,SPM,545.5558050943558
Saint Vincent and the Grenadines,VCT,361.1059630389349
Samoa,WSM,3112.580441682098
San Marino,SMR,115.09936365618051
Sao Tome and Principe,STP,1142.244414840531
Saudi Arabia,SAU,2319258.3398170485
Senegal,SEN,208873.26844966918
Serbia,SRB,170067.3290610613
Seychelles,SYC,382.95432771307264
Sierra Leone,SLE,74129.07357005401
Singapore,SGP,551.4537936337993
Sint Maarten,SXM,47.22650781242731
Slovakia,SVK,111941.46309839403
Slovenia,SVN,42363.505222444306
Solomon Islands,SLB,27656.406618586952
Somalia,SOM,645857.8098743658
South Africa,ZAF,1598182.3100155764
South Georgia and South Sandwich Islands,SGS,10976.907432215925
South Korea,KOR,149723.27480154388
South Sudan,SSD,644118.5201315498
Spain,ESP,858678.9480555092
Sri Lanka,LKA,67226.25157623553
Sudan,SDN,2012810.6238309063
Suriname,SUR,145781.92404530066
Svalbard,SJM,1678677.424251553
Sweden,SWE,2161157.9423457715
Switzerland,CHE,88241.75538953791
Syria,SYR,279826.34574960923
Tajikistan,TJK,232208.98280623514
Tanzania,TZA,954762.9653867778
Thailand,THA,551403.1102613118
Timor-Leste,TLS,15402.593990410527
Togo,TGO,58428.26849361436
Tokelau,TKL,7.560362649192086
Tonga,TON,526.1357443888539
Trinidad and Tobago,TTO,5180.343593516959
Tunisia,TUN,226475.48649183908
Turkiye,TUR,1291536.33171704
Turkmenistan,TKM,922573.258111627
Turks and Caicos Islands,TCA,346.4849117339319
Tuvalu,TUV,29.53844531955155
Uganda,UGA,242337.18097006017
Ukraine,UKR,1386511.261638904
United Arab Emirates,ARE,84106.20050231127
United Kingdom,GBR,712940.3293726387
United States,USA,21665349.94116082
United States Minor Outlying Islands,UMI,41.98455383502382
Uruguay,URY,251377.9201610014
US Virgin Islands,VIR,332.4729499697736
Uzbekistan,UZB,801516.8511180925
Vanuatu,VUT,13310.000596758138
Vatican City,VAT,1.0155528253841928
Venezuela,VEN,926761.4660650487
Vietnam,VNM,355611.9802115703
Wallis and Futuna,WLF,170.08783238417638
Yemen,YEM,490517.3590145205
Zambia,ZMB,796006.9736009033
Zimbabwe,ZWE,436158.1773656697
