Year,Semester,Region,Country,Disease,Animal category,Species,Vaccine type,Number of vaccinated
2005,Jul-Dec 2005,Americas,Brazil,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),Domestic,Birds,-,2192186
2005,Jul-Dec 2005,Americas,Brazil,Fowl typhoid,Domestic,Birds,-,2396258
2005,Jul-Dec 2005,Americas,Brazil,Newcastle disease virus (Inf. with),Domestic,Birds,-,182561923
2005,Jul-Dec 2005,Americas,Brazil,Avian infectious bronchitis,Domestic,Birds,-,215122809
2005,Jul-Dec 2005,Americas,Brazil,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,572439018
2005,Jul-Dec 2005,Americas,Brazil,Marek's disease (-2011),Domestic,Birds,-,621430988
2005,Jul-Dec 2005,Asia,Brunei,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,5418987
2005,Jul-Dec 2005,Asia,Brunei,Newcastle disease virus (Inf. with),Domestic,Birds,-,5418987
2005,Jul-Dec 2005,Europe,Bulgaria,Fowl cholera (-2011),Domestic,Birds,-,340600
2005,Jul-Dec 2005,Europe,Bulgaria,Marek's disease (-2011),Domestic,Birds,-,449680
2005,Jul-Dec 2005,Europe,Bulgaria,Newcastle disease virus (Inf. with),Domestic,Birds,-,7948713
2005,Jul-Dec 2005,Europe,Bulgaria,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,17179766
2005,Jul-Dec 2005,Europe,Bulgaria,Avian infectious laryngotracheitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Burkina Faso,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Cameroon,Fowl pox (-2005),Domestic,Birds,-,1201
2005,Jul-Dec 2005,Africa,Cameroon,Avian infectious bronchitis,Domestic,Birds,-,9001
2005,Jul-Dec 2005,Africa,Cameroon,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,41951
2005,Jul-Dec 2005,Africa,Cameroon,Newcastle disease virus (Inf. with),Domestic,Birds,-,68485
2005,Jul-Dec 2005,Africa,Cameroon,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Central African (Rep.),Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Central African (Rep.),Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Chile,Marek's disease (-2011),Domestic,Birds,-,3020000
2005,Jul-Dec 2005,Americas,Chile,Avian infectious laryngotracheitis,Domestic,Birds,-,4530000
2005,Jul-Dec 2005,Americas,Chile,Fowl pox (-2005),Domestic,Birds,-,5760000
2005,Jul-Dec 2005,Americas,Chile,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,22867000
2005,Jul-Dec 2005,Americas,Chile,Avian infectious bronchitis,Domestic,Birds,-,198366500
2005,Jul-Dec 2005,Americas,Chile,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Fowl pox (-2005),Domestic,Birds,-,28982230
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Pullorum disease,Domestic,Birds,-,86058968
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Duck virus enteritis (-2005),Domestic,Birds,-,202601627
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Duck virus hepatitis,Domestic,Birds,-,202601627
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Fowl cholera (-2011),Domestic,Birds,-,435202211
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Avian infectious laryngotracheitis,Domestic,Birds,-,516224647
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Marek's disease (-2011),Domestic,Birds,-,614731482
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Avian infectious bronchitis,Domestic,Birds,-,1196875684
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Infectious bursal disease (Gumboro disease),Domestic,Birds,-,1315085317
2005,Jul-Dec 2005,Asia,China (People's Rep. of),High pathogenicity avian influenza viruses (poultry) (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Chinese Taipei,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Chinese Taipei,Avian infectious laryngotracheitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Chinese Taipei,Fowl cholera (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Chinese Taipei,Fowl pox (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Chinese Taipei,Fowl typhoid,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Chinese Taipei,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Chinese Taipei,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Chinese Taipei,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Chinese Taipei,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Congo (Dem. Rep. of the),Fowl typhoid,Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Congo (Dem. Rep. of the),Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Costa Rica,Fowl pox (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Costa Rica,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Costa Rica,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Cote D'Ivoire,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Croatia,Marek's disease (-2011),Domestic,Birds,-,31103
2005,Jul-Dec 2005,Europe,Croatia,Fowl pox (-2005),Domestic,Birds,-,313479
2005,Jul-Dec 2005,Europe,Croatia,Newcastle disease virus (Inf. with),Domestic,Birds,-,21191621
2005,Jul-Dec 2005,Europe,Croatia,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,21248267
2005,Jul-Dec 2005,Europe,Croatia,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Cuba,Fowl pox (-2005),Domestic,Birds,-,7686
2005,Jul-Dec 2005,Americas,Cuba,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,7920
2005,Jul-Dec 2005,Americas,Cuba,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Cuba,Fowl cholera (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Cuba,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Cuba,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Czech Republic,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Czech Republic,Duck virus hepatitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Czech Republic,Fowl cholera (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Czech Republic,Fowl pox (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Czech Republic,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Czech Republic,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Czech Republic,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Ecuador,Fowl cholera (-2011),Domestic,Birds,-,3360000
2005,Jul-Dec 2005,Americas,Ecuador,Fowl pox (-2005),Domestic,Birds,-,3360000
2005,Jul-Dec 2005,Americas,Ecuador,Avian infectious bronchitis,Domestic,Birds,-,63360000
2005,Jul-Dec 2005,Americas,Ecuador,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,63360000
2005,Jul-Dec 2005,Americas,Ecuador,Marek's disease (-2011),Domestic,Birds,-,63360000
2005,Jul-Dec 2005,Americas,Ecuador,Newcastle disease virus (Inf. with),Domestic,Birds,-,63360000
2005,Jul-Dec 2005,Africa,Egypt,Fowl pox (-2005),Domestic,Birds,-,14840
2005,Jul-Dec 2005,Africa,Egypt,Fowl cholera (-2011),Domestic,Birds,-,69950
