Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
350819,Influenza - Avian,;HPAI;,0.707978,101.580735,Riau,Indonesia,Asia,,2023-04-13T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
335710,Influenza - Avian,;H5N1 HPAI;,22.408705,114.057637,Mai Po reserve,"Hong Kong, SAR",Asia,,2022-11-14T00:00:00Z,"Environmental sample,Unspecified bird,",WOAH (former OIE),,,Confirmed
392171,Influenza - Avian,;H5N1 HPAI;,32.091566,131.125043,Miyazaki,Japan,Asia,,2024-12-09T00:00:00Z,"Environmental sample,Unspecified bird,",National authorities,,,Confirmed
386007,Influenza - Avian,;H5N1 HPAI;,11.363189,105.459497,Prey Veng,Cambodia,Asia,2024-08-11T00:00:00Z,2024-08-20T00:00:00Z,,National authorities,1,1,Confirmed
350747,Influenza - Avian,;H3N8 HPAI;,22.889451,112.430983,Guangdong Sheng,China,Asia,2023-02-22T00:00:00Z,2023-03-27T00:00:00Z,,WHO,1,1,Confirmed
346443,Influenza - Avian,;H5 HPAI;,-1.676145,-79.057633,Bolivar,Ecuador,Americas,2022-12-25T00:00:00Z,2023-01-18T00:00:00Z,,WHO,1,,Confirmed
390895,Influenza - Avian,;HPAI;,44.114179,-120.526963,Oregon,United States of America,Americas,,2024-11-15T00:00:00Z,,National authorities,1,,Confirmed
388954,Influenza - Avian,;H9N2 LPAI;,30.195244,107.864762,Chongqing Shi,China,Asia,2024-09-04T00:00:00Z,2024-09-19T00:00:00Z,,National authorities,1,,Confirmed
350816,Influenza - Avian,;HPAI;,-6.863998,107.616626,Jawa Barat,Indonesia,Asia,,2023-04-13T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
350817,Influenza - Avian,;HPAI;,-7.306041,109.852467,Jawa Tengah,Indonesia,Asia,,2023-04-13T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
381805,Influenza - Avian,;H9N2 LPAI;,10.394746,106.155029,Tien Giang,Viet Nam,Asia,2024-03-10T00:00:00Z,2024-06-14T00:00:00Z,,WHO,1,,Confirmed
381763,Influenza - Avian,;H5N1 HPAI;,43.742668,-85.207374,Michigan,United States of America,Americas,,2024-05-30T00:00:00Z,,National authorities,1,,Confirmed
351248,Influenza - Avian,;HPAI;,-27.410225,-69.932393,Atacama,Chile,Americas,2023-03-27T00:00:00Z,2023-04-06T00:00:00Z,"Wild,Burmeister's porpoise (Phocoena spinipinnis),",National authorities,,,Confirmed
350818,Influenza - Avian,;HPAI;,-4.834193,105.11369,Lampung,Indonesia,Asia,,2023-04-13T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
351482,Influenza - Avian,;H5 HPAI;,-35.61511,-71.512312,Maule,Chile,Americas,,2023-04-17T00:00:00Z,"Wild,Chilean dolphin (Cephalorhynchus eutropia), ,",National authorities,,,Confirmed
386008,Influenza - Avian,;H9N2 LPAI;,10.718824,-0.820513,Upper East,Ghana,Africa,2024-05-05T00:00:00Z,2024-08-26T00:00:00Z,,WHO,1,,Confirmed
369831,Influenza - Avian,;H5N1 HPAI;,22.408705,114.057637,Mai Po Nature Reserve,"Hong Kong, SAR",Asia,2023-12-11T00:00:00Z,2023-12-21T00:00:00Z,"Wild,Teal,",WOAH (former OIE),,,Confirmed
353376,Influenza - Avian,;H5N1 HPAI;,52.882616,-1.491448,England,U.K. of Great Britain and Northern Ireland,Europe,,2023-05-16T00:00:00Z,,National authorities,2,,Confirmed
316946,Influenza - Avian,;H5N8 HPAI;,41.6844,20.3337,"Village Rreth Kale, Commune Muhurr, District Diber",Albania,Europe,2022-03-19T00:00:00Z,2022-03-26T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
316948,Influenza - Avian,;H5N8 HPAI;,40.6787,20.8419,"Village Plase, Commune Pojan, District Korcë",Albania,Europe,2022-03-23T00:00:00Z,2022-03-26T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
316947,Influenza - Avian,;H5N8 HPAI;,40.887,19.5328,"Village Gure, Commune Gradishte, District",Albania,Europe,2022-03-22T00:00:00Z,2022-03-26T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
391580,Influenza - Avian,;H5N1 HPAI;,41.329213,19.753671,Mëzez,Albania,Europe,2024-10-28T00:00:00Z,2024-10-30T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
393672,Influenza - Avian,;H5N1 HPAI;,41.392778,19.802111,"146115CEKREZ, MORINE",Albania,Europe,2024-12-27T00:00:00Z,2024-12-28T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
378517,Influenza - Avian,;HPAI;,-63.61,-57.32,Paulet Island,Antarctica,Antarctica,2024-03-20T00:00:00Z,2024-05-10T00:00:00Z,"Wild,Brown skua (Stercorarius antarcticus),",National authorities,,,Confirmed
376388,Influenza - Avian,;HPAI;,-68.28,-67.18,Red Rock Ridge,Antarctica,Antarctica,,2024-01-12T00:00:00Z,"Wild,Imperial shag,",National authorities,,,Confirmed
376390,Influenza - Avian,;H5N1 HPAI;,-63.9,-57.82,Lagoon Island,Antarctica,Antarctica,2024-02-20T00:00:00Z,2024-02-27T00:00:00Z,"Wild,Brown skua (Stercorarius antarcticus),",National authorities,,,Confirmed
384164,Influenza - Avian,;HPAI;,-62.39,-59.5,Robert Island (Coppermine Peninsula),Antarctica,Antarctica,2024-03-07T00:00:00Z,2024-07-25T00:00:00Z,"Wild,Southern elephant seal (M. leonina),",National authorities,,,Confirmed
378508,Influenza - Avian,;HPAI;,-63.848,-57.392,Devil Island,Antarctica,Antarctica,2024-03-19T00:00:00Z,2024-05-10T00:00:00Z,"Wild,Brown skua (Stercorarius antarcticus),",National authorities,,,Confirmed
378509,Influenza - Avian,;HPAI;,-63.614,-57.32,Beak Island,Antarctica,Antarctica,2024-03-20T00:00:00Z,2024-05-10T00:00:00Z,"Wild,Brown skua (Stercorarius antarcticus),",National authorities,,,Confirmed
373777,Influenza - Avian,;H5 HPAI;,-64.155851,-60.955285,Primavera base,Antarctica,Antarctica,2024-01-21T00:00:00Z,2024-02-08T00:00:00Z,"Wild,Arctic skua (or parasitic jaeger),",WOAH (former OIE),,,Confirmed
375515,Influenza - Avian,;H5N1 HPAI;,-63.28,-55.14,Beagle Island,Antarctica,Antarctica,,2023-12-24T00:00:00Z,"Wild,Adélie penguin (Pygoscelis adeliae),",National authorities,,,Confirmed
