Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
166872,Influenza - Avian,;H5N1 HPAI;,29.964992,31.5699,Al Qahirah (cairo),Egypt,Africa,2011-10-30T00:00:00Z,2012-01-19T00:00:00Z,,National authorities,1,,Confirmed
202535,Influenza - Avian,;H9N2 LPAI;,24.143979,90.406929,Dhaka,Bangladesh,Asia,2012-11-15T00:00:00Z,2012-11-15T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
217332,Influenza - Avian,;H5N1 HPAI;,24.975267,55.324495,Dubai,United Arab Emirates,Asia,,2015-11-30T00:00:00Z,"Captive,Falcon,Captive,Unspecified bird,",Publications,,,Confirmed
182207,Influenza - Avian,;H5N1 HPAI;,21.134,106.0758,"Hap Linh, Hap Linh, Bac Ninh city",Viet Nam,Asia,2014-01-08T00:00:00Z,2014-01-10T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
198721,Influenza - Avian,;H5N1 HPAI;,30.42674,33.698374,Talat El Sadat,Egypt,Africa,2015-01-07T00:00:00Z,2015-01-08T00:00:00Z,"Domestic,chicken,Domestic,duck,Domestic,unspecified bird,",National authorities,,,Confirmed
182135,Influenza - Avian,;H7N9 LPAI;,32.058136,118.793793,Nanjing,China,Asia,2013-12-20T00:00:00Z,2014-01-07T00:00:00Z,,National authorities,1,,Confirmed
203088,Influenza - Avian,;H9N2 LPAI;,22.396428,114.109497,Hong Kong,"Hong Kong, SAR",Asia,2011-01-01T00:00:00Z,2011-01-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
201992,Influenza - Avian,;H9N2 LPAI;,29.96499,31.5699,Al Qahirah (cairo),Egypt,Africa,2012-02-25T00:00:00Z,2012-02-25T00:00:00Z,"Domestic,chicken,",International reference laboratory,,,Confirmed
203819,Influenza - Avian,;H9N2 LPAI;,36.66853,119.295143999,Shandong,China,Asia,2012-05-09T00:00:00Z,2012-05-09T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203808,Influenza - Avian,;H9N2 LPAI;,32.061707,118.763232,Jiangsu,China,Asia,2012-03-24T00:00:00Z,2012-03-24T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203787,Influenza - Avian,;H9N2 LPAI;,28.112449,112.98380999,Hunan,China,Asia,2012-03-01T00:00:00Z,2012-03-01T00:00:00Z,"Wild,Unspecified bird,",International reference laboratory,,,Confirmed
203743,Influenza - Avian,;H9N2 LPAI;,36.66853,117.020358999,Shandong,China,Asia,2011-12-01T00:00:00Z,2011-12-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203670,Influenza - Avian,;H9N2 LPAI;,29.56301,106.551557,Chongqing,China,Asia,2011-07-01T00:00:00Z,2011-07-01T00:00:00Z,"Wild,Duck,",International reference laboratory,,,Confirmed
203557,Influenza - Avian,;H9N2 LPAI;,26.598194,106.70740999,Guizhou,China,Asia,2011-04-01T00:00:00Z,2011-04-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203487,Influenza - Avian,;H9N2 LPAI;,36.66853,119.295143999,Shandong,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203477,Influenza - Avian,;H9N2 LPAI;,36.66853,119.295143999,Shandong,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203404,Influenza - Avian,;H9N2 LPAI;,34.765515,113.753602,Henan,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203389,Influenza - Avian,;H9N2 LPAI;,34.765515,113.753602,Henan,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203313,Influenza - Avian,;H9N2 LPAI;,20.017378,110.349228999,Hainan,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203296,Influenza - Avian,;H9N2 LPAI;,20.017378,110.349228999,Hainan,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
183515,Influenza - Avian,;H5N1 HPAI;,31.343396,31.681092,Dumyat (damietta),Egypt,Africa,2014-03-07T00:00:00Z,2014-03-21T00:00:00Z,,National authorities,1,,Confirmed
184340,Influenza - Avian,;H5N1 HPAI;,-3.294057,104.377175,PRABUMULIH BARAT,Indonesia,Asia,2014-02-14T00:00:00Z,2014-02-14T00:00:00Z,"Domestic,chicken,",National authorities,,,Confirmed
203095,Influenza - Avian,;H9N2 LPAI;,22.396428,114.109497,Hong Kong,"Hong Kong, SAR",Asia,2011-01-01T00:00:00Z,2011-01-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203951,Influenza - Avian,;H9N2 LPAI;,30.267443,120.152791999,Zhejiang,China,Asia,2013-04-01T00:00:00Z,2013-04-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203937,Influenza - Avian,;H9N2 LPAI;,36.66853,117.020358999,Shandong,China,Asia,2013-03-27T00:00:00Z,2013-03-27T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203912,Influenza - Avian,;H9N2 LPAI;,33.904778,113.076847,Henan Sheng,China,Asia,2013-01-14T00:00:00Z,2013-01-14T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203842,Influenza - Avian,;H9N2 LPAI;,43.896539999,125.325862,Jilin,China,Asia,2012-10-26T00:00:00Z,2012-10-26T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203796,Influenza - Avian,;H9N2 LPAI;,28.112449,112.98380999,Hunan,China,Asia,2012-03-01T00:00:00Z,2012-03-01T00:00:00Z,"Wild,Unspecified bird,",International reference laboratory,,,Confirmed
203780,Influenza - Avian,;H9N2 LPAI;,36.66853,117.020358999,Shandong,China,Asia,2012-03-01T00:00:00Z,2012-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203778,Influenza - Avian,;H9N2 LPAI;,28.112449,112.98380999,Hunan,China,Asia,2012-02-01T00:00:00Z,2012-02-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203776,Influenza - Avian,;H9N2 LPAI;,23.132191,113.266530999,Guangdong,China,Asia,2012-02-01T00:00:00Z,2012-02-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203764,Influenza - Avian,;H9N2 LPAI;,31.230416,121.473701,Shanghai,China,Asia,2012-01-01T00:00:00Z,2012-01-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203619,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2011-07-01T00:00:00Z,2011-07-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203592,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2011-07-01T00:00:00Z,2011-07-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203560,Influenza - Avian,;H9N2 LPAI;,22.815478,108.32754599999,Guangxi,China,Asia,2011-04-01T00:00:00Z,2011-04-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203512,Influenza - Avian,;H9N2 LPAI;,37.873532,112.562398,Shanxi,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203465,Influenza - Avian,;H9N2 LPAI;,36.66853,119.295143999,Shandong,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203423,Influenza - Avian,;H9N2 LPAI;,32.061707,118.763232,Jiangsu,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203397,Influenza - Avian,;H9N2 LPAI;,34.765515,113.753602,Henan,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203387,Influenza - Avian,;H9N2 LPAI;,34.765515,113.753602,Henan,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203355,Influenza - Avian,;H9N2 LPAI;,34.765515,113.753602,Henan,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203345,Influenza - Avian,;H9N2 LPAI;,34.765515,113.753602,Henan,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203303,Influenza - Avian,;H9N2 LPAI;,20.017378,110.349228999,Hainan,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203261,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203243,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203237,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203217,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203186,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203170,Influenza - Avian,;H9N2 LPAI;,26.10078,119.295143999,Fujian,China,Asia,2011-02-01T00:00:00Z,2011-02-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203131,Influenza - Avian,;H9N2 LPAI;,25.920724,117.920212,Fujian Sheng,China,Asia,2011-01-01T00:00:00Z,2011-01-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203126,Influenza - Avian,;H9N2 LPAI;,23.132191,113.266530999,Guangdong,China,Asia,2011-01-01T00:00:00Z,2011-01-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
170596,Influenza - Avian,;H5N1 HPAI;,0.707978,101.580735,Riau,Indonesia,Asia,2012-04-24T00:00:00Z,2012-04-25T00:00:00Z,,WHO,1,1,Confirmed
169916,Influenza - Avian,;H5N1 HPAI;,29.021996,29.451783,Al Jizah (giza),Egypt,Africa,2012-03-25T00:00:00Z,2012-04-02T00:00:00Z,,National authorities,1,1,Confirmed
161858,Influenza - Avian,;H5N1 HPAI;,29.30321,30.571836,Al Fayyum (fayoum),Egypt,Africa,2011-03-20T00:00:00Z,2011-04-11T00:00:00Z,,National authorities,1,,Confirmed
184346,Influenza - Avian,;H5N1 HPAI;,-3.294057,104.377175,PRABUMULIH TIMUR,Indonesia,Asia,2014-02-17T00:00:00Z,2014-02-17T00:00:00Z,"Domestic,chicken,",National authorities,,,Confirmed
202704,Influenza - Avian,;H9N2 LPAI;,34.40002,58.42474,Khorasan,Iran  (Islamic Republic of),Asia,2011-02-03T00:00:00Z,2011-02-03T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
202480,Influenza - Avian,;H5N8 HPAI;,37.542616,127.462483,Pocheon,Republic of Korea,Asia,2015-04-20T00:00:00Z,2015-05-05T00:00:00Z,"Domestic,Chicken,",National authorities,,,Confirmed
202412,Influenza - Avian,;H9N2 LPAI;,21.1397,105.84772,Ha Noi City,Viet Nam,Asia,2013-04-10T00:00:00Z,2013-04-10T00:00:00Z,"Domestic,chicken,",International reference laboratory,,,Confirmed
203749,Influenza - Avian,;H9N2 LPAI;,22.396428,114.109497,Hong Kong,"Hong Kong, SAR",Asia,2012-01-01T00:00:00Z,2012-01-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
202004,Influenza - Avian,;H9N2 LPAI;,29.96499,31.5699,Al Qahirah (cairo),Egypt,Africa,2012-04-17T00:00:00Z,2012-04-17T00:00:00Z,"Domestic,chicken,",International reference laboratory,,,Confirmed
204016,Influenza - Avian,;H9N2 LPAI;,31.230416,121.473701,Shanghai,China,Asia,2014-07-08T00:00:00Z,2014-07-08T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203806,Influenza - Avian,;H9N2 LPAI;,32.061707,118.763232,Jiangsu,China,Asia,2012-03-24T00:00:00Z,2012-03-24T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203732,Influenza - Avian,;H9N2 LPAI;,23.132191,113.266530999,Guangdong,China,Asia,2011-12-01T00:00:00Z,2011-12-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203711,Influenza - Avian,;H9N2 LPAI;,33.904778,113.076847,Henan Sheng,China,Asia,2011-11-01T00:00:00Z,2011-11-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203628,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2011-07-01T00:00:00Z,2011-07-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203548,Influenza - Avian,;H9N2 LPAI;,30.267443,120.152791999,Zhejiang,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203490,Influenza - Avian,;H9N2 LPAI;,36.66853,119.295143999,Shandong,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203476,Influenza - Avian,;H9N2 LPAI;,36.66853,119.295143999,Shandong,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203431,Influenza - Avian,;H9N2 LPAI;,32.061707,118.763232,Jiangsu,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203316,Influenza - Avian,;H9N2 LPAI;,20.017378,110.349228999,Hainan,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203301,Influenza - Avian,;H9N2 LPAI;,20.017378,110.349228999,Hainan,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203240,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203239,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203194,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203183,Influenza - Avian,;H9N2 LPAI;,32.061707,118.763232,Jiangsu,China,Asia,2011-02-15T00:00:00Z,2011-02-15T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203114,Influenza - Avian,;H9N2 LPAI;,32.061707,118.763232,Jiangsu,China,Asia,2011-01-01T00:00:00Z,2011-01-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
161753,Influenza - Avian,;H5N1 HPAI;,30.671095,30.347881,Al Buhayrah (behera),Egypt,Africa,2011-03-05T00:00:00Z,2011-03-29T00:00:00Z,,National authorities,1,,Confirmed
161751,Influenza - Avian,;H5N1 HPAI;,29.627008,32.124277,As Suways (suez),Egypt,Africa,2011-03-08T00:00:00Z,2011-03-29T00:00:00Z,,National authorities,1,1,Confirmed
202520,Influenza - Avian,;H9N2 LPAI;,24.143979,90.406929,Dhaka,Bangladesh,Asia,2013-05-25T00:00:00Z,2013-05-25T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
202481,Influenza - Avian,;H5N8 HPAI;,37.542616,127.462483,Pocheon,Republic of Korea,Asia,2015-04-25T00:00:00Z,2015-05-05T00:00:00Z,"Domestic,Chicken,",National authorities,,,Confirmed
202398,Influenza - Avian,;H9N2 LPAI;,21.1397,105.84772,Ha Noi City,Viet Nam,Asia,2014-11-18T00:00:00Z,2014-11-18T00:00:00Z,"Wild,mallard,",International reference laboratory,,,Confirmed
197824,Influenza - Avian,;H5N1 HPAI;,28.206684,30.915177,Menia district,Egypt,Africa,2014-11-24T00:00:00Z,2014-12-02T00:00:00Z,,National authorities,1,,Confirmed
201994,Influenza - Avian,;H9N2 LPAI;,29.96499,31.5699,Al Qahirah (cairo),Egypt,Africa,2012-03-12T00:00:00Z,2012-03-12T00:00:00Z,"Domestic,chicken,",International reference laboratory,,,Confirmed
201695,Influenza - Avian,;H9N2 LPAI;,29.021996,29.451783,Alwady Alfaregh,Egypt,Africa,2013-01-20T00:00:00Z,2013-01-20T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
201688,Influenza - Avian,;H9N2 LPAI;,29.96499,31.5699,Al Qahirah (cairo),Egypt,Africa,2013-01-02T00:00:00Z,2013-01-02T00:00:00Z,"Domestic,chicken,",International reference laboratory,,,Confirmed
204020,Influenza - Avian,;H9N2 LPAI;,31.230416,121.473701,Shanghai,China,Asia,2014-12-03T00:00:00Z,2014-12-03T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203986,Influenza - Avian,;H9N2 LPAI;,36.66853,117.020358999,Shandong,China,Asia,2013-06-21T00:00:00Z,2013-06-21T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203853,Influenza - Avian,;H9N2 LPAI;,43.584005,126.220533,Jilin Sheng,China,Asia,2012-11-21T00:00:00Z,2012-11-21T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203820,Influenza - Avian,;H9N2 LPAI;,36.66853,119.295143999,Shandong,China,Asia,2012-05-09T00:00:00Z,2012-05-09T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203608,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2011-07-01T00:00:00Z,2011-07-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203534,Influenza - Avian,;H9N2 LPAI;,37.873532,112.562398,Shanxi,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203529,Influenza - Avian,;H9N2 LPAI;,37.873532,112.562398,Shanxi,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203434,Influenza - Avian,;H9N2 LPAI;,32.061707,118.763232,Jiangsu,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203407,Influenza - Avian,;H9N2 LPAI;,34.765515,113.753602,Henan,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203191,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203184,Influenza - Avian,;H9N2 LPAI;,36.66853,117.020358999,Shandong,China,Asia,2011-02-24T00:00:00Z,2011-02-24T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203152,Influenza - Avian,;H9N2 LPAI;,23.132191,113.266530999,Guangdong,China,Asia,2011-02-01T00:00:00Z,2011-02-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203122,Influenza - Avian,;H9N2 LPAI;,22.815478,108.32754599999,Guangxi,China,Asia,2011-01-01T00:00:00Z,2011-01-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
163849,Influenza - Avian,;H5N1 HPAI;,31.048825,31.528706,Al Daqahliyah (dakahlia),Egypt,Africa,2011-01-18T00:00:00Z,2011-02-28T00:00:00Z,,National authorities,1,,Confirmed
166873,Influenza - Avian,;H5N1 HPAI;,29.30321,30.571836,Al Fayyum (fayoum),Egypt,Africa,2012-01-01T00:00:00Z,2012-01-19T00:00:00Z,,National authorities,1,,Confirmed
202542,Influenza - Avian,;H9N2 LPAI;,24.143979,90.406929,Dhaka,Bangladesh,Asia,2013-12-27T00:00:00Z,2013-12-27T00:00:00Z,"Domestic,Quail,",International reference laboratory,,,Confirmed
