Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
202661,Influenza - Avian,;H9N2 LPAI;,35.6033,51.50948,Tehran,Iran  (Islamic Republic of),Asia,2007-01-01T00:00:00Z,2007-01-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
159802,Influenza - Avian,;H5N1 HPAI;,28.206684,30.915177,Eminia,Egypt,Africa,2006-04-06T00:00:00Z,2007-12-03T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
159230,Influenza - Avian,;H5N1 HPAI;,29.021996,29.451783,Ezbet Al Tall,Egypt,Africa,2006-03-11T00:00:00Z,2006-03-23T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
159224,Influenza - Avian,;H5N1 HPAI;,29.021996,29.451783,Al Maryotya,Egypt,Africa,2006-03-08T00:00:00Z,2006-03-23T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
159181,Influenza - Avian,;H5N1 HPAI;,30.360187,31.208088,Nekbass,Egypt,Africa,2006-03-08T00:00:00Z,2006-03-23T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
159166,Influenza - Avian,;H5N1 HPAI;,30.360187,31.208088,Sandanhour,Egypt,Africa,2006-03-10T00:00:00Z,2006-03-23T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
159158,Influenza - Avian,;H5N1 HPAI;,30.360187,31.208088,Tahla,Egypt,Africa,2006-03-04T00:00:00Z,2006-03-23T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
132583,Influenza - Avian,;H5N1 HPAI;,31.1693077,31.6939354,Al Daqahliyah (dakahlia),Egypt,Africa,2009-05-25T00:00:00Z,2009-06-01T00:00:00Z,,WHO,1,,Confirmed
130774,Influenza - Avian,;H5N1 HPAI;,31.1103134,30.340374,Al Buhayrah (behera),Egypt,Africa,2009-03-06T00:00:00Z,2009-03-08T00:00:00Z,"Domestic,chicken,",National authorities,,,Confirmed
133613,Influenza - Avian,;H5N1 HPAI;,27.197,31.191,Elhoda slaughter house,Egypt,Africa,2009-09-16T00:00:00Z,2009-09-17T00:00:00Z,"Domestic,chicken,",National authorities,,,Confirmed
132573,Influenza - Avian,;H5N1 HPAI;,31.235282,32.3284,Elasher village (Port Said district),Egypt,Africa,2009-05-20T00:00:00Z,2009-05-21T00:00:00Z,"Domestic,chicken,Domestic,duck,",National authorities,,,Confirmed
203057,Influenza - Avian,;H9N2 LPAI;,30.546498,114.341861999,Hubei,China,Asia,2010-11-01T00:00:00Z,2010-11-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203026,Influenza - Avian,;H9N2 LPAI;,30.546498,114.341861999,Hubei,China,Asia,2010-11-01T00:00:00Z,2010-11-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
202994,Influenza - Avian,;H9N2 LPAI;,31.861184,117.28492299,Anhui,China,Asia,2010-11-01T00:00:00Z,2010-11-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
202952,Influenza - Avian,;H9N2 LPAI;,32.041826,117.169105,Anhui Sheng,China,Asia,2010-03-01T00:00:00Z,2010-03-01T00:00:00Z,"Wild,Duck,",International reference laboratory,,,Confirmed
202695,Influenza - Avian,;H9N2 LPAI;,34.40002,58.42474,Khorasan,Iran  (Islamic Republic of),Asia,2010-06-13T00:00:00Z,2010-06-13T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
202389,Influenza - Avian,;H9N2 LPAI;,21.1397,105.84772,Ha Noi City,Viet Nam,Asia,2009-04-01T00:00:00Z,2009-04-01T00:00:00Z,"Wild,mallard,",International reference laboratory,,,Confirmed
160052,Influenza - Avian,;H5N1 HPAI;,30.360187,31.208088,Al Monshaa Al Kobra,Egypt,Africa,2008-01-01T00:00:00Z,2008-01-15T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
159804,Influenza - Avian,;H5N1 HPAI;,30.360187,31.208088,Banha,Egypt,Africa,2006-04-09T00:00:00Z,2007-12-03T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
159378,Influenza - Avian,;H5N1 HPAI;,30.360187,31.208088,Esteet,Egypt,Africa,2006-03-08T00:00:00Z,2006-03-23T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
159242,Influenza - Avian,;H5N1 HPAI;,29.021996,29.451783,Shobrament,Egypt,Africa,2006-03-06T00:00:00Z,2006-03-23T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
159240,Influenza - Avian,;H5N1 HPAI;,30.360187,31.208088,Al monshaa alkobra,Egypt,Africa,2006-03-04T00:00:00Z,2006-03-23T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
159221,Influenza - Avian,;H5N1 HPAI;,29.021996,29.451783,Meet Kenana,Egypt,Africa,2006-03-06T00:00:00Z,2006-03-23T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
